Student_ID,Name,Age,Class,Section,Gender,Marks
S1001,Kartikey  Sahu,16,11,B,Male,79
S1002,Isha  Gupta,14,9,A,Female,45
S1003,Sneha Sahu,14,9,B,Female,83
S1004,Manya Sahu,15,9,A,Female,92
S1005,Parvati,16,10,C,Female,70
S1006,Vivaan Mehta,15,9,A,Female,85
S1007,Ishaan Mehta,18,10,A,Female,81
S1008,Diya Singh,17,11,B,Male,79
S1009,Aditya Yadav,16,9,B,Male,73
S1010,Krishna Gupta,15,10,A,Male,78
S1011,Krishna Mehta,16,11,B,Male,91
S1012,Sneha Sharma,17,9,A,Male,57
S1013,Diya Patel,18,12,B,Female,45
S1014,Priya Yadav,15,9,C,Female,84
S1015,Sneha Verma,16,9,A,Male,84
S1016,Sneha Mehta,16,10,C,Female,65
S1017,Ananya Mishra,15,10,A,Male,85
S1018,Diya Joshi,14,9,A,Male,58
S1019,Sneha Gupta,16,12,B,Female,45
S1020,Riya Mishra,17,11,A,Male,45
S1021,Aditya Yadav,16,10,C,Female,66
S1022,Priya Joshi,18,12,A,Male,91
S1023,Ananya Patel,15,11,A,Male,96
S1024,Riya Kumar,14,11,A,Male,42
S1025,Priya Joshi,16,9,B,Male,60
S1026,Aditya Singh,14,9,C,Male,59
S1027,Riya Verma,16,12,A,Female,95
S1028,Diya Mehta,14,11,C,Female,72
S1029,Riya Joshi,18,12,C,Male,42
S1030,Ananya Joshi,17,9,B,Male,85
S1031,Priya Joshi,18,10,A,Female,74
S1032,Krishna Kumar,17,10,A,Female,71
S1033,Krishna Mehta,17,10,C,Female,81
S1034,Aarav Yadav,14,10,B,Female,76
S1035,Priya Mehta,15,9,A,Male,66
S1036,Diya Patel,16,11,A,Male,86
S1037,Ananya Sharma,18,10,C,Male,81
S1038,Krishna Sharma,16,10,C,Male,76
S1039,Sneha Kumar,14,11,A,Female,61
S1040,Aarav Sharma,14,11,B,Male,92
S1041,Riya Mishra,16,12,C,Male,47
S1042,Aarav Gupta,14,9,B,Female,91
S1043,Ananya Singh,17,9,C,Male,68
S1044,Aarav Joshi,14,12,B,Male,93
S1045,Sneha Mishra,16,10,A,Female,83
S1046,Diya Gupta,17,10,C,Female,85
S1047,Diya Mishra,16,12,C,Female,66
S1048,Krishna Mishra,17,10,B,Female,59
S1049,Diya Kumar,14,10,B,Female,85
S1050,Vivaan Verma,16,9,A,Male,59
S1051,Diya Sharma,18,10,B,Female,71
S1052,Diya Singh,18,9,A,Male,42
S1053,Priya Gupta,16,9,C,Male,96
S1054,Vivaan Gupta,17,9,A,Male,71
S1055,Aditya Verma,15,9,C,Male,52
S1056,Ananya Mishra,14,9,A,Male,68
S1057,Riya Singh,17,11,A,Male,95
S1058,Krishna Joshi,15,11,A,Male,75
S1059,Sneha Sharma,16,12,B,Female,64
S1060,Ananya Yadav,18,9,A,Female,50
S1061,Krishna Yadav,15,10,C,Male,89
S1062,Riya Mishra,18,11,B,Female,49
S1063,Aarav Gupta,18,10,B,Female,85
S1064,Ananya Kumar,17,10,B,Male,88
S1065,Aarav Yadav,15,12,A,Male,72
S1066,Riya Joshi,16,10,B,Male,80
S1067,Ishaan Yadav,15,9,A,Male,89
S1068,Riya Patel,14,9,B,Female,69
S1069,Vivaan Joshi,15,10,A,Female,64
S1070,Aditya Mishra,18,9,C,Female,75
S1071,Riya Mishra,15,9,B,Female,86
S1072,Aditya Joshi,15,9,B,Female,64
S1073,Aarav Mehta,14,11,C,Female,52
S1074,Krishna Gupta,17,12,B,Male,84
S1075,Ananya Sharma,14,12,A,Female,66
S1076,Ishaan Sharma,14,12,B,Male,51
S1077,Krishna Singh,17,10,A,Male,81
S1078,Sneha Verma,18,10,B,Male,55
S1079,Diya Gupta,17,10,C,Male,53
S1080,Diya Singh,16,9,A,Male,67
S1081,Aditya Yadav,14,11,C,Male,46
S1082,Diya Joshi,15,9,C,Female,40
S1083,Aarav Verma,18,9,B,Female,98
S1084,Ishaan Patel,18,12,A,Male,63
S1085,Ananya Kumar,17,10,B,Female,50
S1086,Sneha Mishra,14,11,A,Female,73
S1087,Aarav Kumar,14,10,C,Female,98
S1088,Aditya Kumar,15,9,B,Male,97
S1089,Krishna Gupta,17,9,C,Female,54
S1090,Riya Singh,18,10,B,Male,50
S1091,Priya Singh,16,12,C,Male,53
S1092,Riya Mehta,15,11,A,Female,89
S1093,Aarav Mishra,16,10,C,Male,66
S1094,Sneha Joshi,15,11,C,Male,74
S1095,Aditya Singh,18,10,A,Female,67
S1096,Ishaan Kumar,17,9,B,Male,48
S1097,Krishna Kumar,15,12,A,Male,66
S1098,Krishna Singh,14,9,B,Female,63
S1099,Ananya Joshi,14,12,C,Female,64
S1100,Aditya Verma,17,12,A,Male,40
